tag_id,timestamp,value
C-201-DISCH-PRESS,2026-08-17T00:00:00Z,904.57
C-201-DISCH-PRESS,2026-08-17T01:00:00Z,904.48
C-201-DISCH-PRESS,2026-08-17T02:00:00Z,904.67
C-201-DISCH-PRESS,2026-08-17T03:00:00Z,907.11
C-201-DISCH-PRESS,2026-08-17T04:00:00Z,904.62
C-201-DISCH-PRESS,2026-08-17T05:00:00Z,900.51
C-201-DISCH-PRESS,2026-08-17T06:00:00Z,906.0
C-201-DISCH-PRESS,2026-08-17T07:00:00Z,904.2
C-201-DISCH-PRESS,2026-08-17T08:00:00Z,904.35
C-201-DISCH-PRESS,2026-08-17T09:00:00Z,905.35
C-201-DISCH-PRESS,2026-08-17T10:00:00Z,905.7
C-201-DISCH-PRESS,2026-08-17T11:00:00Z,908.49
C-201-DISCH-PRESS,2026-08-17T12:00:00Z,906.97
C-201-DISCH-PRESS,2026-08-17T13:00:00Z,905.33
C-201-DISCH-PRESS,2026-08-17T14:00:00Z,902.79
C-201-DISCH-PRESS,2026-08-17T15:00:00Z,901.96
C-201-DISCH-PRESS,2026-08-17T16:00:00Z,905.74
C-201-DISCH-PRESS,2026-08-17T17:00:00Z,908.93
C-201-DISCH-PRESS,2026-08-17T18:00:00Z,905.12
C-201-DISCH-PRESS,2026-08-17T19:00:00Z,904.68
C-201-DISCH-PRESS,2026-08-17T20:00:00Z,906.6
C-201-DISCH-PRESS,2026-08-17T21:00:00Z,900.64
C-201-DISCH-PRESS,2026-08-17T22:00:00Z,904.06
C-201-DISCH-PRESS,2026-08-17T23:00:00Z,906.47
C-201-DISCH-PRESS,2026-08-18T00:00:00Z,907.62
C-201-DISCH-PRESS,2026-08-18T01:00:00Z,904.28
C-201-DISCH-PRESS,2026-08-18T02:00:00Z,906.13
C-201-DISCH-PRESS,2026-08-18T03:00:00Z,905.74
C-201-DISCH-PRESS,2026-08-18T04:00:00Z,907.35
C-201-DISCH-PRESS,2026-08-18T05:00:00Z,901.66
C-201-DISCH-PRESS,2026-08-18T06:00:00Z,906.7
C-201-DISCH-PRESS,2026-08-18T07:00:00Z,900.46
C-201-DISCH-PRESS,2026-08-18T08:00:00Z,897.14
C-201-DISCH-PRESS,2026-08-18T09:00:00Z,903.18
C-201-DISCH-PRESS,2026-08-18T10:00:00Z,902.25
C-201-DISCH-PRESS,2026-08-18T11:00:00Z,907.63
C-201-DISCH-PRESS,2026-08-18T12:00:00Z,906.99
C-201-DISCH-PRESS,2026-08-18T13:00:00Z,901.34
C-201-DISCH-PRESS,2026-08-18T14:00:00Z,907.54
C-201-DISCH-PRESS,2026-08-18T15:00:00Z,901.99
C-201-DISCH-PRESS,2026-08-18T16:00:00Z,904.74
C-201-DISCH-PRESS,2026-08-18T17:00:00Z,904.12
C-201-DISCH-PRESS,2026-08-18T18:00:00Z,905.34
C-201-DISCH-PRESS,2026-08-18T19:00:00Z,907.46
C-201-DISCH-PRESS,2026-08-18T20:00:00Z,906.92
C-201-DISCH-PRESS,2026-08-18T21:00:00Z,906.05
C-201-DISCH-PRESS,2026-08-18T22:00:00Z,906.95
C-201-DISCH-PRESS,2026-08-18T23:00:00Z,906.44
C-201-DISCH-PRESS,2026-08-19T00:00:00Z,903.12
C-201-DISCH-PRESS,2026-08-19T01:00:00Z,902.85
C-201-DISCH-PRESS,2026-08-19T02:00:00Z,903.59
C-201-DISCH-PRESS,2026-08-19T03:00:00Z,906.5
C-201-DISCH-PRESS,2026-08-19T04:00:00Z,904.25
C-201-DISCH-PRESS,2026-08-19T05:00:00Z,912.01
C-201-DISCH-PRESS,2026-08-19T06:00:00Z,902.54
C-201-DISCH-PRESS,2026-08-19T07:00:00Z,901.7
C-201-DISCH-PRESS,2026-08-19T08:00:00Z,907.31
C-201-DISCH-PRESS,2026-08-19T09:00:00Z,909.27
C-201-DISCH-PRESS,2026-08-19T10:00:00Z,906.52
C-201-DISCH-PRESS,2026-08-19T11:00:00Z,907.51
C-201-DISCH-PRESS,2026-08-19T12:00:00Z,909.28
C-201-DISCH-PRESS,2026-08-19T13:00:00Z,904.72
C-201-DISCH-PRESS,2026-08-19T14:00:00Z,900.73
C-201-DISCH-PRESS,2026-08-19T15:00:00Z,903.4
C-201-DISCH-PRESS,2026-08-19T16:00:00Z,907.86
C-201-DISCH-PRESS,2026-08-19T17:00:00Z,900.67
C-201-DISCH-PRESS,2026-08-19T18:00:00Z,905.1
C-201-DISCH-PRESS,2026-08-19T19:00:00Z,905.76
C-201-DISCH-PRESS,2026-08-19T20:00:00Z,904.05
C-201-DISCH-PRESS,2026-08-19T21:00:00Z,907.17
C-201-DISCH-PRESS,2026-08-19T22:00:00Z,906.74
C-201-DISCH-PRESS,2026-08-19T23:00:00Z,911.96
C-201-DISCH-PRESS,2026-08-20T00:00:00Z,906.86
C-201-DISCH-PRESS,2026-08-20T01:00:00Z,903.17
C-201-DISCH-PRESS,2026-08-20T02:00:00Z,903.31
C-201-DISCH-PRESS,2026-08-20T03:00:00Z,902.51
C-201-DISCH-PRESS,2026-08-20T04:00:00Z,907.86
C-201-DISCH-PRESS,2026-08-20T05:00:00Z,903.3
C-201-DISCH-PRESS,2026-08-20T06:00:00Z,904.79
C-201-DISCH-PRESS,2026-08-20T07:00:00Z,907.25
C-201-DISCH-PRESS,2026-08-20T08:00:00Z,902.83
C-201-DISCH-PRESS,2026-08-20T09:00:00Z,904.12
C-201-DISCH-PRESS,2026-08-20T10:00:00Z,899.48
C-201-DISCH-PRESS,2026-08-20T11:00:00Z,901.75
C-201-DISCH-PRESS,2026-08-20T12:00:00Z,903.3
C-201-DISCH-PRESS,2026-08-20T13:00:00Z,906.25
C-201-DISCH-PRESS,2026-08-20T14:00:00Z,908.58
C-201-DISCH-PRESS,2026-08-20T15:00:00Z,904.94
C-201-DISCH-PRESS,2026-08-20T16:00:00Z,905.78
C-201-DISCH-PRESS,2026-08-20T17:00:00Z,905.5
C-201-DISCH-PRESS,2026-08-20T18:00:00Z,908.25
C-201-DISCH-PRESS,2026-08-20T19:00:00Z,907.68
C-201-DISCH-PRESS,2026-08-20T20:00:00Z,905.82
C-201-DISCH-PRESS,2026-08-20T21:00:00Z,901.97
C-201-DISCH-PRESS,2026-08-20T22:00:00Z,907.71
C-201-DISCH-PRESS,2026-08-20T23:00:00Z,906.14
C-201-DISCH-PRESS,2026-08-21T00:00:00Z,908.68
C-201-DISCH-PRESS,2026-08-21T01:00:00Z,904.91
C-201-DISCH-PRESS,2026-08-21T02:00:00Z,910.86
C-201-DISCH-PRESS,2026-08-21T03:00:00Z,903.92
C-201-DISCH-PRESS,2026-08-21T04:00:00Z,909.78
C-201-DISCH-PRESS,2026-08-21T05:00:00Z,905.35
C-201-DISCH-PRESS,2026-08-21T06:00:00Z,903.45
C-201-DISCH-PRESS,2026-08-21T07:00:00Z,901.61
C-201-DISCH-PRESS,2026-08-21T08:00:00Z,904.55
C-201-DISCH-PRESS,2026-08-21T09:00:00Z,909.27
C-201-DISCH-PRESS,2026-08-21T10:00:00Z,907.45
C-201-DISCH-PRESS,2026-08-21T11:00:00Z,907.07
C-201-DISCH-PRESS,2026-08-21T12:00:00Z,897.87
C-201-DISCH-PRESS,2026-08-21T13:00:00Z,907.13
C-201-DISCH-PRESS,2026-08-21T14:00:00Z,906.67
C-201-DISCH-PRESS,2026-08-21T15:00:00Z,903.35
C-201-DISCH-PRESS,2026-08-21T16:00:00Z,903.12
C-201-DISCH-PRESS,2026-08-21T17:00:00Z,904.99
C-201-DISCH-PRESS,2026-08-21T18:00:00Z,910.17
C-201-DISCH-PRESS,2026-08-21T19:00:00Z,901.83
C-201-DISCH-PRESS,2026-08-21T20:00:00Z,903.72
C-201-DISCH-PRESS,2026-08-21T21:00:00Z,909.09
C-201-DISCH-PRESS,2026-08-21T22:00:00Z,903.66
C-201-DISCH-PRESS,2026-08-21T23:00:00Z,903.91
C-201-DISCH-PRESS,2026-08-22T00:00:00Z,905.29
C-201-DISCH-PRESS,2026-08-22T01:00:00Z,901.28
C-201-DISCH-PRESS,2026-08-22T02:00:00Z,905.66
C-201-DISCH-PRESS,2026-08-22T03:00:00Z,901.37
C-201-DISCH-PRESS,2026-08-22T04:00:00Z,907.66
C-201-DISCH-PRESS,2026-08-22T05:00:00Z,905.01
C-201-DISCH-PRESS,2026-08-22T06:00:00Z,911.85
C-201-DISCH-PRESS,2026-08-22T07:00:00Z,905.84
C-201-DISCH-PRESS,2026-08-22T08:00:00Z,909.1
C-201-DISCH-PRESS,2026-08-22T09:00:00Z,901.09
C-201-DISCH-PRESS,2026-08-22T10:00:00Z,904.63
